user_id	item_id	time
8429	251	939859200
4700	110	942192000
18572	130	942192000
21894	99	942192000
21894	171	942192000
21894	234	942192000
22097	153	942537600
18860	150	942883200
2962	263	942969600
15065	368	943228800
13900	151	943315200
17088	28	943488000
17088	30	943488000
17088	130	943488000
17088	166	943488000
17088	198	943488000
17088	763	943488000
17088	172	943574400
18860	269	943574400
21968	284	943574400
15994	127	943660800
15994	255	943660800
22097	295	943747200
4362	269	943920000
3985	480	944006400
1070	266	944179200
15065	266	944179200
4700	580	944265600
17088	187	944265600
17088	157	944352000
21968	28	944352000
21968	187	944352000
22097	154	944352000
10447	124	944438400
16531	267	944438400
4896	138	944524800
4896	142	944524800
4896	143	944524800
4896	156	944524800
4896	157	944524800
4896	163	944524800
4896	595	944524800
19139	254	944611200
13900	302	944870400
14086	48	944956800
14086	138	944956800
19628	268	944956800
4580	30	945216000
5430	29	945216000
14452	142	945216000
14506	763	945302400
8987	474	945993600
20084	302	946080000
23269	367	946252800
18441	126	946339200
23161	187	946339200
23269	368	946339200
8429	113	946425600
15065	93	946512000
12111	305	946598400
20441	474	946598400
7551	264	946684800
7551	265	946684800
7551	267	946684800
10142	113	946771200
10142	224	946771200
20084	166	946771200
14391	287	946857600
23161	290	946857600
7192	255	946944000
11231	29	946944000
7002	305	947030400
11774	158	947116800
14178	108	947116800
7192	79	947203200
7192	99	947289600
8261	188	947289600
8987	99	947289600
569	189	947376000
3979	218	947376000
22097	283	947376000
14835	46	947548800
20228	151	947548800
20228	161	947548800
20228	220	947548800
8213	290	947635200
8213	293	947635200
11231	130	947808000
11231	295	947808000
10744	302	948153600
13444	122	948240000
14086	142	948326400
7192	266	948499200
11224	296	948499200
20441	263	948499200
3979	150	948585600
5459	157	948585600
14835	268	948585600
14835	292	948585600
7192	295	948672000
5459	150	948758400
20441	166	948758400
20084	124	949017600
21528	29	949017600
23269	264	949017600
1070	154	949190400
22097	193	949190400
23269	46	949190400
5436	29	949276800
15343	142	949276800
22845	142	949276800
1070	599	949363200
10661	290	949449600
20156	218	949622400
20156	296	949622400
3952	275	949708800
7002	159	949708800
17741	295	949708800
3952	99	949795200
7192	146	949881600
18860	599	949881600
22220	123	949968000
23269	162	949968000
3952	197	950054400
19568	48	950054400
19568	263	950054400
19568	281	950054400
21879	122	950054400
7002	234	950140800
21815	158	950140800
3926	294	950227200
20084	261	950486400
20084	147	950572800
4757	29	950659200
23560	142	951091200
5459	142	951177600
21528	147	951350400
3979	210	951436800
7502	294	951436800
3409	610	951523200
3952	609	951696000
4358	158	951696000
17120	166	951696000
17120	295	951782400
21879	157	952041600
19971	290	952128000
19988	138	952387200
20441	83	952473600
7192	302	952560000
17120	163	952560000
9204	368	952646400
19988	142	952646400
3979	127	952732800
10447	287	952732800
16574	302	952732800
19988	135	952732800
261	166	952819200
12067	593	952905600
8349	123	952992000
8987	275	952992000
17120	269	952992000
16574	30	953337600
16574	98	953337600
16574	127	953337600
16574	157	953337600
16574	599	953337600
20084	612	953337600
16574	158	953424000
7634	634	953510400
8213	421	953510400
10142	225	953510400
19971	193	953510400
2107	366	953596800
9204	283	953596800
9204	421	953596800
6714	421	953683200
10447	619	953683200
8987	197	953769600
10142	112	953769600
10142	651	953769600
20441	421	953769600
313	144	953942400
7551	254	953942400
7911	404	953942400
14452	666	954028800
7551	283	954115200
16574	48	954115200
16574	222	954115200
13967	165	954201600
16574	146	954288000
23921	475	954288000
20870	170	954374400
261	287	954460800
313	594	954460800
21528	267	954547200
7502	262	954633600
13632	186	954806400
16574	189	954806400
17002	28	954806400
17309	475	954806400
261	124	954892800
15150	285	954892800
15305	26	954892800
15305	194	954892800
15305	198	954892800
15305	265	954892800
16574	194	954892800
7502	368	955065600
12362	189	955065600
313	26	955238400
770	123	955324800
13632	130	955497600
11304	404	955843200
17309	254	955843200
16574	475	956102400
5459	368	956188800
8019	421	956188800
770	611	956275200
5459	662	956275200
21894	770	956275200
2741	414	956534400
11038	208	956534400
13617	156	956534400
21518	636	956534400
13632	763	956620800
120	475	956707200
2741	172	956707200
20084	475	956707200
313	142	956793600
2741	610	956793600
13632	136	956793600
23921	123	956793600
23921	153	956793600
23921	156	956793600
23921	195	956793600
7192	28	956880000
13632	636	956880000
20870	295	956966400
22156	633	956966400
4757	223	957052800
3814	295	957139200
22841	207	957139200
22841	480	957139200
13842	593	957225600
4552	131	957312000
7002	28	957312000
7002	189	957312000
3814	763	957398400
7522	167	957398400
15003	156	957398400
15003	295	957398400
7522	26	957484800
7522	207	957484800
7522	269	957484800
7522	423	957484800
7522	595	957484800
20870	165	957484800
22841	172	957484800
22841	196	957484800
8987	28	957571200
5873	254	957657600
850	75	957744000
14489	30	957830400
23004	610	957830400
13632	475	957916800
7192	662	958003200
17743	421	958003200
16574	186	958089600
24137	130	958089600
24137	475	958089600
23050	269	958176000
24137	142	958176000
24137	186	958176000
24137	599	958176000
7192	404	958262400
14452	26	958262400
14452	480	958262400
21434	170	958262400
23050	93	958262400
23050	261	958262400
17120	637	958435200
20314	145	958435200
21340	28	958435200
1652	166	958521600
10744	48	958521600
12737	404	958521600
15150	139	958521600
24137	123	958521600
3855	296	958608000
13842	610	958608000
17995	623	958608000
23050	614	958608000
23050	141	958694400
23050	270	958694400
